,Loss,Accuracy
0,2.1492226123809814,0.18916
1,1.8843536376953125,0.30092
2,1.7373183965682983,0.36206
3,1.6521300077438354,0.39384
4,1.5788270235061646,0.4218
5,1.495556116104126,0.45734
6,1.4192308187484741,0.48516
7,1.360002875328064,0.51022
8,1.2966400384902954,0.5321
9,1.2327464818954468,0.55736
10,1.1955299377441406,0.57072
11,1.1397663354873657,0.59114
12,1.0926624536514282,0.61052
13,1.0621684789657593,0.62006
14,1.0310221910476685,0.63638
15,1.0055748224258423,0.64484
16,0.9759867787361145,0.6544
17,0.9538725018501282,0.66238
18,0.9326729774475098,0.66936
19,1.3789900541305542,0.50908
20,1.1545788049697876,0.59066
21,1.07550847530365,0.61792
22,1.0156118869781494,0.64288
23,0.9847949147224426,0.65312
24,0.9514898657798767,0.66494
25,0.9308463931083679,0.67114
26,0.9070976972579956,0.68052
27,0.8809852004051208,0.68974
28,0.8671070337295532,0.69322
29,0.8570891618728638,0.69978
30,0.8499495387077332,0.70114
31,0.837683379650116,0.70488
32,0.826004683971405,0.71028
33,0.8194662928581238,0.71068
34,0.7976714372634888,0.7207
35,0.7959153652191162,0.71972
36,0.7958301901817322,0.72138
37,0.7846511006355286,0.72472
38,0.7818547487258911,0.7268
39,0.7736690044403076,0.73164
40,0.7590325474739075,0.73366
41,0.7593333721160889,0.73336
42,0.7547186613082886,0.7326
43,0.7483130097389221,0.73724
44,0.7378201484680176,0.7413
45,0.7440673112869263,0.73874
46,0.7315770387649536,0.74346
47,0.7339295744895935,0.74466
48,0.7264744639396667,0.7441
49,0.7260833978652954,0.74704
50,0.7274608016014099,0.7439
51,0.7155497670173645,0.74628
52,0.7202451229095459,0.74712
53,0.7097804546356201,0.74814
54,0.7052496075630188,0.7525
55,0.7042919397354126,0.7523
56,0.7049817442893982,0.75318
57,0.7052759528160095,0.75266
58,0.7008931636810303,0.75354
59,0.5631051659584045,0.80404
60,0.5304848551750183,0.81498
61,0.513962984085083,0.82086
62,0.5075632929801941,0.8219
63,0.4955836236476898,0.82556
64,0.4884535074234009,0.82742
65,0.4904637336730957,0.82838
66,0.4859483540058136,0.82982
67,0.47963544726371765,0.8305
68,0.4771784543991089,0.83068
69,0.4753154218196869,0.83316
70,0.47302407026290894,0.83236
71,0.4706766903400421,0.83538
72,0.46799236536026,0.8364
73,0.463399201631546,0.83772
74,0.4673776924610138,0.8352
75,0.4636569619178772,0.83624
76,0.4581010639667511,0.83988
77,0.4536222517490387,0.84042
78,0.4565970003604889,0.83838
79,0.44763264060020447,0.84226
80,0.4479607343673706,0.84184
81,0.4533034861087799,0.8396
82,0.44861820340156555,0.84242
83,0.4460553824901581,0.84286
84,0.4491247832775116,0.84098
85,0.4447774291038513,0.84396
86,0.44116348028182983,0.84494
87,0.43780896067619324,0.84506
88,0.44568026065826416,0.84294
89,0.4446603059768677,0.84232
90,0.43797099590301514,0.8456
91,0.44065871834754944,0.8436
92,0.44231054186820984,0.84406
93,0.43288302421569824,0.84718
94,0.43106457591056824,0.84964
95,0.4335744380950928,0.84718
96,0.4361889958381653,0.84678
97,0.4331348240375519,0.84648
98,0.4262194335460663,0.85002
99,0.429919958114624,0.84942
100,0.42541995644569397,0.84944
101,0.4289740324020386,0.84972
102,0.43001723289489746,0.84872
103,0.4294557273387909,0.8483
104,0.4284861385822296,0.84914
105,0.42607054114341736,0.84906
106,0.4225751757621765,0.85108
107,0.4221477508544922,0.85004
108,0.4240909516811371,0.85066
109,0.42375823855400085,0.85
110,0.42097368836402893,0.85062
111,0.4223233461380005,0.84992
112,0.42029643058776855,0.85064
113,0.41778668761253357,0.85148
114,0.42093202471733093,0.84982
115,0.41967764496803284,0.85208
116,0.4175301492214203,0.85236
117,0.4125076234340668,0.85448
118,0.42057350277900696,0.85208
119,0.3899497389793396,0.86338
120,0.3760160207748413,0.8674
121,0.3698345720767975,0.86964
122,0.36877232789993286,0.87052
123,0.37212446331977844,0.86852
124,0.3675937354564667,0.87106
125,0.366717666387558,0.87178
126,0.36338502168655396,0.8722
127,0.3624436855316162,0.87206
128,0.3615262508392334,0.87366
129,0.3658558130264282,0.8712
130,0.36115562915802,0.87286
131,0.3590901494026184,0.87238
132,0.3615957200527191,0.87302
133,0.3594336211681366,0.87246
134,0.35535719990730286,0.8768
135,0.36261650919914246,0.87136
136,0.3611023724079132,0.87424
137,0.3607136309146881,0.8734
138,0.35819584131240845,0.87336
139,0.3542432188987732,0.8742
140,0.3609866797924042,0.87206
141,0.35699164867401123,0.87248
142,0.36071527004241943,0.87146
143,0.3575321137905121,0.87268
144,0.35371097922325134,0.87478
145,0.3501076102256775,0.8758
146,0.35677340626716614,0.87438
147,0.3517390489578247,0.87654
148,0.35873058438301086,0.8731
149,0.3523156940937042,0.87518
150,0.3535953462123871,0.87394
151,0.35592013597488403,0.875
152,0.3552597761154175,0.87554
153,0.34944257140159607,0.8763
154,0.3485177159309387,0.87814
155,0.3526926338672638,0.87648
156,0.35058367252349854,0.87646
157,0.34825170040130615,0.87456
158,0.35143333673477173,0.87522
159,0.35190364718437195,0.876
160,0.34529930353164673,0.87884
161,0.35463839769363403,0.87578
162,0.34982308745384216,0.8764
163,0.3511195480823517,0.87646
164,0.3528697192668915,0.87596
165,0.3477674424648285,0.87778
166,0.3528018593788147,0.8762
167,0.34871959686279297,0.87772
168,0.35039645433425903,0.87578
169,0.34655308723449707,0.87766
170,0.3502129316329956,0.87724
171,0.3484610617160797,0.87746
172,0.3465691804885864,0.87838
173,0.3456741273403168,0.87836
174,0.3442647457122803,0.87838
175,0.3496541380882263,0.87696
176,0.34753039479255676,0.8758
177,0.3450181484222412,0.87854
178,0.34797078371047974,0.87654
179,0.34129342436790466,0.87742
180,0.3383123576641083,0.88144
181,0.34614214301109314,0.87756
182,0.34182634949684143,0.87996
183,0.3417169153690338,0.87926
184,0.3416377007961273,0.87994
185,0.3421466648578644,0.87874
186,0.3391755223274231,0.87954
187,0.34082117676734924,0.88036
188,0.33886945247650146,0.88096
189,0.3368186056613922,0.88072
190,0.33908385038375854,0.88028
191,0.3408195376396179,0.87868
192,0.3338068127632141,0.88106
193,0.33720728754997253,0.88084
194,0.3417307138442993,0.87742
195,0.341124951839447,0.88008
196,0.3425601124763489,0.87982
197,0.347005158662796,0.87794
198,0.3348204791545868,0.88308
199,0.3434867262840271,0.87896
